문제,정답,정답 메세지
전 세계에서 제일 높은 산의 이름은 히말라야이다.,X,정답은 에베레스트산입니다.
호주의 수도는 멜버른이다.,X,정답은 캔버라입니다.
사하라 사막은 세계에서 가장 큰 면적의 사막이다.,O,정답입니다.
일반 횡단보도에서 자전거를 타면 안 된다.,O,정답입니다.
열대지방에 자라는 나무에는 나이테가 없다.,O,정답입니다.
우동은 표준어이다.,X,정답은 가락국수 입니다.
조선시대에도 이혼제도가 있었다.,O,정답입니다.
남한과 북한의 국경일 중 설날은 유일한 같은 날짜의 국경일이다.,X,정답은 광복절 입니다
중생대의 쥐라기는 공룡의 이름에서 유래한다.,X,정답은 쥐라산맥입니다.
장영실이 제작한 물시계 이름은 앙부일구이다.,X,정답은 자격루입니다.
파파라치는 파리를 의미하는 이탈리아어에서 유래했다.,O,정답입니다.
우리나라 서해 최북단 섬은 연평도이다.,X,정답은 백령도입니다.
올림픽 개막식 선수단은 개최국 선수단이 가장 먼저 입장한다.,X,정담은 그리스입니다.
개구리는 배꼽이 없다.,O,정답입니다.
원숭이도 사람처럼 지문이 있다.,O,정답입니다.
